smile,value_min,value_max,value_mean
Cc1cc(C(c2ccc(C(C)(C)C)cc2)c2cc(C)c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)c(C)c2)cc(C)c1C,80,80,80
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,80,80,80
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,85,85,85
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2C(F)(F)F)cc1,44.2,44.2,44.2
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)c(C(F)(F)F)c2)cc1,44.2,44.2,44.2
Cc1ccc(-c2cc(C(F)(F)F)c(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2C(F)(F)F)cc1,69.3,69.3,69.3
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,76.5,76.5,76.5
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)cc2C(F)(F)F)cc1,82.9,82.9,82.9
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)c(C(F)(F)F)c2)cc1,82.9,82.9,82.9
Cc1ccc(-c2cc(C(F)(F)F)c(-c3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)cc2C(F)(F)F)cc1,80.9,80.9,80.9
Cc1ccc(-c2ccc(-c3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,83.4,83.4,83.4
Cc1ccc(Oc2ccc(N3C(=O)C4CCC5C(=O)N(C)C(=O)C6CCC(C3=O)C4C56)cc2)cc1,85,85,85
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC6C(=O)N(C)C(=O)C7CCC(C4=O)C5C67)cc3)cc2)cc1,80,80,80
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCC7C(=O)N(C)C(=O)C8CCC(C5=O)C6C78)cc4)cc3)cc2)cc1,80,80,80
CC1CCC(CC2CCC(N3C(=O)C4CCC5C(=O)N(C)C(=O)C6CCC(C3=O)C4C56)CC2)CC1,81,81,81
Cc1ccc(Oc2ccc(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)cc2)cc1,84,85,84.5
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3)cc2)cc1,83,83,83
CC1CCC(CC2CCC(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)CC2)CC1,85,86,85.5
Cc1ccc(Oc2ccc(N3C(=O)C4CCC(C5CCC6C(=O)N(C)C(=O)C6C5)CC4C3=O)cc2)cc1,80,80,80
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC(C6CCC7C(=O)N(C)C(=O)C7C6)CC5C4=O)cc3)cc2)cc1,81,81,81
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)cc4)cc3)cc2)cc1,80,80,80
CC1CCC(N2C(=O)C3CCC(C4CCC5C(=O)N(C)C(=O)C5C4)CC3C2=O)CC1,84,84,84
CC1CCC(CC2CCC(N3C(=O)C4CCC(C5CCC6C(=O)N(C)C(=O)C6C5)CC4C3=O)CC2)CC1,82,82,82
Cc1ccc(N2C(=O)C3CCCC(C4CCC5C(=O)N(C)C(=O)C5C4)C3C2=O)cc1,78,78,78
Cc1ccc(N2C(=O)C3CCC(C4CCCC5C(=O)N(C)C(=O)C54)CC3C2=O)cc1,78,78,78
Cc1ccc(Oc2ccc(N3C(=O)C4CCC(C5CCCC6C(=O)N(C)C(=O)C65)CC4C3=O)cc2)cc1,82,82,82
Cc1ccc(Oc2ccc(N3C(=O)C4CCCC(C5CCC6C(=O)N(C)C(=O)C6C5)C4C3=O)cc2)cc1,82,82,82
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCCC(C6CCC7C(=O)N(C)C(=O)C7C6)C5C4=O)cc3)cc2)cc1,81,81,81
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC(C6CCCC7C(=O)N(C)C(=O)C76)CC5C4=O)cc3)cc2)cc1,81,81,81
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCCC(C7CCC8C(=O)N(C)C(=O)C8C7)C6C5=O)cc4)cc3)cc2)cc1,82,82,82
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCC(C7CCCC8C(=O)N(C)C(=O)C87)CC6C5=O)cc4)cc3)cc2)cc1,82,82,82
CC1CCC(N2C(=O)C3CCCC(C4CCC5C(=O)N(C)C(=O)C5C4)C3C2=O)CC1,84,84,84
CC1CCC(N2C(=O)C3CCC(C4CCCC5C(=O)N(C)C(=O)C54)CC3C2=O)CC1,84,84,84
CC1CCC(CC2CCC(N3C(=O)C4CCCC(C5CCC6C(=O)N(C)C(=O)C6C5)C4C3=O)CC2)CC1,84,84,84
CC1CCC(CC2CCC(N3C(=O)C4CCC(C5CCCC6C(=O)N(C)C(=O)C65)CC4C3=O)CC2)CC1,84,84,84
Cc1ccc(Oc2ccc(N3C(=O)C4CCCC(C5CCCC6C(=O)N(C)C(=O)C65)C4C3=O)cc2)cc1,83,83,83
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCCC(C6CCCC7C(=O)N(C)C(=O)C76)C5C4=O)cc3)cc2)cc1,82,82,82
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CCCC(C7CCCC8C(=O)N(C)C(=O)C87)C6C5=O)cc4)cc3)cc2)cc1,83,83,83
CC1CCC(N2C(=O)C3CCCC(C4CCCC5C(=O)N(C)C(=O)C54)C3C2=O)CC1,87,87,87
CC1CCC(CC2CCC(N3C(=O)C4CCCC(C5CCCC6C(=O)N(C)C(=O)C65)C4C3=O)CC2)CC1,86,86,86
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc2)(C4)C3)cc1,42,42,42
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)cc2)(C4)C3)cc1,90,90,90
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)cc2)(C4)C3)cc1,86,86,86
Cc1ccc(C23CC4CC(C2)CC(c2ccc(N5C(=O)C6C7C=CC(C8C(=O)N(C)C(=O)C78)C6C5=O)cc2)(C4)C3)cc1,80,80,80
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)c(C)c2)(C4)C3)cc(C)c1C,89,89,89
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)c(C)c2)(C4)C3)cc(C)c1C,86,86,86
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)c(C)c2)(C4)C3)cc(C)c1C,91,91,91
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)C6C7C=CC(C8C(=O)N(C)C(=O)C78)C6C5=O)c(C)c2)(C4)C3)cc(C)c1C,80,80,80
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)c2)(C4)C3)c1,81,81,81
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)c2)(C4)C3)c1,86,86,86
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)c2)(C4)C3)c1,88,88,88
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)C6C7C=CC(C8C(=O)N(C)C(=O)C78)C6C5=O)c2)(C4)C3)c1,91,91,91
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,14.5,14.5,14.5
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2F)c(F)c1,50.3,50.3,50.3
Cc1cc(F)c(-c2c(F)cc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2F)c(F)c1,63.1,63.1,63.1
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,80.2,85.5,83.025
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C)c(C)c1,44.1,51,47.55
Cc1ccc(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,11.3,11.3,11.3
Cc1ccc(S(=O)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,65.3,65.3,65.3
Cc1ccc(-c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,43.1,43.1,43.1
Cc1ccc(S(=O)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)cc2)cc1,13.5,13.5,13.5
Cc1ccc(-c2ccc(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,85,85,85
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CC6C(=O)N(C)C(=O)C6CC5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,88,88,88
Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)cc4C(F)(F)F)cc3)cc2)c(C(F)(F)F)c1,87,87,87
Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)cc4C(F)(F)F)cc3)cc2)c(C(F)(F)F)c1,88,88,88
Cc1cc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cc(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)cc(C(F)(F)F)c4)cc3)cc2)cc(C(F)(F)F)c1,90,90,90
Cc1cc(C(c2ccccc2)c2cc(C)c(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)c(C)c2)cc(C)c1C,71,71,71
Cc1cc(C(c2ccc(F)cc2)c2cc(C)c(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)c(C)c2)cc(C)c1C,74,74,74
Cc1cc(C(c2cc(C)c(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)c(C)c2)c2cc(F)c(F)c(F)c2)cc(C)c1C,78,78,78
Cc1cc(C(c2ccccc2)c2cc(C)c(N3C(=O)C4C5C=CC(C6C(=O)N(C)C(=O)C56)C4C3=O)c(C)c2)cc(C)c1C,72,72,72
Cc1cc(C(c2ccc(F)cc2)c2cc(C)c(N3C(=O)C4C5C=CC(C6C(=O)N(C)C(=O)C56)C4C3=O)c(C)c2)cc(C)c1C,72,72,72
Cc1cc(C(c2cc(C)c(N3C(=O)C4C5C=CC(C6C(=O)N(C)C(=O)C56)C4C3=O)c(C)c2)c2cc(F)c(F)c(F)c2)cc(C)c1C,80,80,80
Cc1ccc(Oc2ccc(N3C(=O)[C@H]4C[C@H]5C(=O)N(C)C(=O)[C@@H]5C[C@@H]4C3=O)cc2)cc1,76,76,76
Cc1ccc(Oc2ccc(N3C(=O)[C@@H]4C[C@@H]5C(=O)N(C)C(=O)[C@H]5C[C@H]4C3=O)cc2)cc1,76,76,76
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)[C@@H]5C[C@@H]6C(=O)N(C)C(=O)[C@H]6C[C@H]5C4=O)cc3)cc2)cc1,79.4,79.4,79.4
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)[C@H]5C[C@H]6C(=O)N(C)C(=O)[C@@H]6C[C@@H]5C4=O)cc3)cc2)cc1,79.4,79.4,79.4
Cc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(N5C(=O)[C@H]6C[C@H]7C(=O)N(C)C(=O)[C@@H]7C[C@@H]6C5=O)cc4)cc3)cc2)cc1,79,79,79
Cc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(N5C(=O)[C@@H]6C[C@@H]7C(=O)N(C)C(=O)[C@H]7C[C@H]6C5=O)cc4)cc3)cc2)cc1,79,79,79
Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(N5C(=O)[C@@H]6C[C@@H]7C(=O)N(C)C(=O)[C@H]7C[C@H]6C5=O)cc4)cc3)cc2)cc1,80.5,80.5,80.5
Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(N5C(=O)[C@H]6C[C@H]7C(=O)N(C)C(=O)[C@@H]7C[C@@H]6C5=O)cc4)cc3)cc2)cc1,80.5,80.5,80.5
Cc1ccc(Oc2ccc(N3C(=O)[C@@H]4C[C@@H]5C(=O)N(C)C(=O)[C@H]5C[C@H]4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,74.8,74.8,74.8
Cc1ccc(Oc2ccc(N3C(=O)[C@H]4C[C@H]5C(=O)N(C)C(=O)[C@@H]5C[C@@H]4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,74.8,74.8,74.8
Cc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)[C@H]6C[C@H]7C(=O)N(C)C(=O)[C@@H]7C[C@@H]6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,78.9,78.9,78.9
Cc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)[C@@H]6C[C@@H]7C(=O)N(C)C(=O)[C@H]7C[C@H]6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,78.9,78.9,78.9
Cc1ccc(N2C(=O)[C@@H]3C[C@@H]4C(=O)N(C)C(=O)[C@H]4C[C@H]3C2=O)cc1,64.6,64.6,64.6
Cc1ccc(N2C(=O)[C@H]3C[C@H]4C(=O)N(C)C(=O)[C@@H]4C[C@@H]3C2=O)cc1,64.6,64.6,64.6
Cc1ccc(-c2ccc(N3C(=O)[C@@H]4C[C@@H]5C(=O)N(C)C(=O)[C@H]5C[C@H]4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,71.8,78.6,75.2
Cc1ccc(-c2ccc(N3C(=O)[C@H]4C[C@H]5C(=O)N(C)C(=O)[C@@H]5C[C@@H]4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,71.8,78.6,75.2
Cc1ccc(C(=O)Nc2ccc(N3C(=O)[C@H]4C[C@H]5C(=O)N(C)C(=O)[C@@H]5C[C@@H]4C3=O)cc2)cc1,77.7,77.7,77.7
Cc1ccc(NC(=O)c2ccc(N3C(=O)[C@@H]4C[C@@H]5C(=O)N(C)C(=O)[C@H]5C[C@H]4C3=O)cc2)cc1,77.7,77.7,77.7
Cc1ccc(NC(=O)c2ccc(N3C(=O)[C@H]4C[C@H]5C(=O)N(C)C(=O)[C@@H]5C[C@@H]4C3=O)cc2)cc1,77.7,77.7,77.7
Cc1ccc(C(=O)Nc2ccc(N3C(=O)[C@@H]4C[C@@H]5C(=O)N(C)C(=O)[C@H]5C[C@H]4C3=O)cc2)cc1,77.7,77.7,77.7
Cc1cccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1,73.8,73.8,73.8
CC1CCC(CC2CCC(N3C(=O)[C@@H]4C[C@@H]5C(=O)N(C)C(=O)[C@H]5C[C@H]4C3=O)CC2)CC1,78.3,78.3,78.3
CC1CCC(CC2CCC(N3C(=O)[C@H]4C[C@H]5C(=O)N(C)C(=O)[C@@H]5C[C@@H]4C3=O)CC2)CC1,78.3,78.3,78.3
CC1CCC(CC2CCC(N3C(=O)[C@@H]4C[C@@H]5C(=O)N(C)C(=O)[C@H]5C[C@H]4C3=O)C(C)C2)CC1C,72.1,72.1,72.1
CC1CCC(CC2CCC(N3C(=O)[C@H]4C[C@H]5C(=O)N(C)C(=O)[C@@H]5C[C@@H]4C3=O)C(C)C2)CC1C,72.1,72.1,72.1
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(=O)Nc5ccc(-c6ccc(NC(=O)c7ccc8c(c7)C(=O)N(C)C8=O)cc6C(F)(F)F)c(C(F)(F)F)c5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,43.4,43.4,43.4
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(=O)Nc5ccc(-c6ccc(NC(=O)c7ccc8c(c7)C(=O)N(C)C8=O)c(C(F)(F)F)c6)cc5C(F)(F)F)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,2.5,2.5,2.5
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(=O)Nc5cc(Cl)c(-c6cc(Cl)c(NC(=O)c7ccc8c(c7)C(=O)N(C)C8=O)cc6Cl)cc5Cl)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,0.6,0.6,0.6
Cc1cccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1C,82,82,82
Cc1cc(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(C)c1C,85.7,85.7,85.7
Cc1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,48.2,48.2,48.2
Cc1cc(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1C,80,80,80
